text,label,fonte,rating,url,data_coleta
Urnas eletrônicas foram auditadas e aprovadas pelo TSE antes das eleições,verdadeiro,Aos Fatos,True,,
Fraude nas urnas eletrônicas foi comprovada por peritos do exército,falso,Aos Fatos,False,,
Lula foi condenado em três instâncias por corrupção no caso triplex,verdadeiro,Agência Lupa,True,,
Lula nunca foi condenado por nenhum crime no Brasil,falso,Agência Lupa,False,,
O TSE permite auditoria pública do código-fonte das urnas eletrônicas,verdadeiro,Aos Fatos,True,,
As urnas eletrônicas não possuem nenhum sistema de segurança,falso,E-Farsas,False,,
Bolsonaro foi presidente do Brasil de 2019 a 2022,verdadeiro,G1,True,,
Bolsonaro ganhou as eleições de 2022 com ampla vantagem,falso,Agência Lupa,False,,
O sistema eleitoral brasileiro é considerado seguro por especialistas internacionais,verdadeiro,Aos Fatos,True,,
Militares assumiram o controle do TSE durante as eleições de 2022,falso,E-Farsas,False,,
PT foi fundado em 1980 por sindicalistas e movimentos sociais,verdadeiro,G1,True,,
PT foi criado por Lula sozinho em 1990,falso,Agência Lupa,False,,
O voto no Brasil é obrigatório para maiores de 18 e menores de 70 anos,verdadeiro,TSE,True,,
O voto eletrônico foi implantado no Brasil em 1996,verdadeiro,TSE,True,,
Candidatos podem comprar votos legalmente mediante declaração formal,falso,E-Farsas,False,,
A campanha eleitoral no Brasil é financiada por fundos públicos e privados,verdadeiro,Aos Fatos,True,,
Fraude eleitoral em larga escala foi detectada nas eleições de 2018,falso,Agência Lupa,False,,
O TSE é responsável por organizar e fiscalizar as eleições no Brasil,verdadeiro,TSE,True,,
Urnas eletrônicas podem ser hackeadas remotamente via internet,falso,Aos Fatos,False,,
Eleições municipais ocorrem a cada quatro anos no Brasil,verdadeiro,TSE,True,,
Lula prometeu fechar o Congresso Nacional se eleito,falso,E-Farsas,False,,
Bolsonaro prometeu privatizar a Petrobras em seu governo,verdadeiro,G1,True,,
O Brasil possui mais de 150 milhões de eleitores cadastrados,verdadeiro,TSE,True,,
Apenas homens podem votar nas eleições brasileiras,falso,E-Farsas,False,,
A urna eletrônica imprime um comprovante de voto verificável,falso,Aos Fatos,False,,
O segundo turno das eleições presidenciais ocorre quando nenhum candidato atinge 50% mais um voto,verdadeiro,TSE,True,,
Lula recebeu apoio de mais de 200 artistas nas eleições de 2022,verdadeiro,G1,True,,
Bolsonaro foi expulso do exército por desonra,falso,Agência Lupa,False,,
O Brasil adotou o voto eletrônico para reduzir fraudes e agilizar a apuração,verdadeiro,TSE,True,,
Candidatos condenados em segunda instância são inelegíveis pela lei da ficha limpa,verdadeiro,Aos Fatos,True,,
A campanha de Lula foi financiada exclusivamente por países estrangeiros,falso,E-Farsas,False,,
O Brasil realizou eleições sem interrupção desde a redemocratização em 1985,verdadeiro,G1,True,,
Militares têm direito a voto nas eleições brasileiras,verdadeiro,TSE,True,,
Presos provisórios podem votar nas eleições brasileiras,verdadeiro,TSE,True,,
O presidente do Brasil pode dissolver o Congresso Nacional por decreto,falso,Agência Lupa,False,,
Bolsonaro tentou um golpe de estado após perder as eleições de 2022,verdadeiro,G1,True,,
O STF anulou as eleições de 2022 por irregularidades nas urnas,falso,E-Farsas,False,,
Analfabetos não são obrigados a votar no Brasil,verdadeiro,TSE,True,,
O horário eleitoral gratuito é garantido pela legislação brasileira,verdadeiro,TSE,True,,
Lula foi absolvido pelo STF de todas as acusações da Lava Jato,verdadeiro,G1,True,,
Bolsonaro criou o Pix,verdadeiro,Modelo ML Local,verdadeiro (63%),,2026-06-12T22:35:07.366173
Bolsonaro tentou um golpe de estado após perder as eleições de 2022,verdadeiro,Modelo ML Local,verdadeiro (57%),,2026-06-12T22:35:19.438837
Urnas eletrônicas foram fraudadas nas eleições brasileiras,verdadeiro,Modelo ML Local,verdadeiro (59%),,2026-06-12T22:35:24.571694
Lula nunca foi preso,verdadeiro,Modelo ML Local,verdadeiro (52%),,2026-06-12T22:49:02.666150
Lula foi preso em abril de 2018 após condenação no caso triplex,verdadeiro,G1,true,,
Lula nunca foi preso no Brasil,falso,Agência Lupa,false,,
Lula ficou preso por 580 dias em Curitiba,verdadeiro,G1,true,,
Lula nunca foi preso,verdadeiro,Modelo ML Local,verdadeiro (52%),,2026-06-12T23:39:21.294627
Bolsonaro tentou um golpe de estado após perder as eleições de 2022,verdadeiro,Modelo ML Local,verdadeiro (59%),,2026-06-12T23:39:56.985850
